,0,1
question_id,724198105635,
media_identifier,358107276187,792149261438
question_title,"Determining the Probability of Compound Events Involving
                Spinners","Finding the Probability of Independent Events Occuring
                Together"
start_time,00:03:46.370,00:07:42.180
end_time,00:05:20.470,00:08:33.400
